,artist,id,title
33,'Westside Gunn',7FAIbXzdXDjOccdMaTxmwz,'Brains Flew By (1964 version)'
34,'Madlib',4z5Wok98ZeXmtjlcajbPmx,'Movie Finale'
35,'Mild High Club',7hniD3L7AJUoBpytFpkcDn,'Cary Me Back'
36,'J Dilla',03jaD8yizTrRPD4KPB2dZ5,'The Diff'rence'
37,'Johnson&Jonson',1vIF4ZNaGZvGER6B5OIIQ1,'Hold On John - Bonus'
38,'Khruangbin',66MpvsWO5O7gy9LjXGFw6I,'Maria También'
39,'Pond',6YGVK9xgH2LI4Ghw6gqUxx,'Paint Me Silver'
40,'Generationals',4HWIwnpTzT2VzVvvo3bYYv,'Please Be It'
41,'Mild High Club',1yyoECuzomr8VqgAWnMTPu,'You and Me'
42,'VRITRA',01yN7uIWsxLxtNieUZiSF7,'Rounds'
43,'Declaime',7dDYobgpyZzWdOFdzoOkNp,'Whole Wide World'
44,'Quasimoto',3ayr466SicYLcMRSCuiOSL,'Basic Instinct'
45,'Black Star',7tx1TUJrT6qxXFXAELqbev,'Thieves In The Night'
46,'Curren$y',2OuPR1aeHm3oZcvjarDDow,'Paper Habits'
47,'NxWorries',3FQCunuHk5y4T1FLnlH3Fb,'Best One'
48,'Mild High Club',5McUWmzhUy41Sbibtvk2Zw,'Undeniable'
49,'Mild High Club',7qPdc4CH1GGZaHBImyoZ69,'Tesselation'
50,'Mac DeMarco',25SJaCCPiosugnlY53VhRG,'Freaking Out the Neighborhood'
51,'Unknown Mortal Orchestra',5VarZFY00sO54HErJ3TPCI,'So Good At Being in Trouble'
52,'Allah-Las',3tTsHrJBgM1tfqE6eFMDQ5,'Catamaran'
53,'The Buttertones',7KwJrAQMoJyUEBes3evMLv,'Orpheus Under the Influence'
54,'together PANGEA',14q1CWouLEjFT6zu5re8hR,'Sick Shit'
55,'together PANGEA',6bwWYNvvCLpE2QfpbfmnXK,'Praise'
56,'together PANGEA',1eXlyZrOqe00FBVo7DhRTk,'Offer'
57,'together PANGEA',3u9AaQ0IiJE8y2xPGuyoi3,'Better Find Out'
58,'together PANGEA',5tQkgG7unCiJxaOFp5yc5O,'Badillac'
59,'together PANGEA',11W3dA4aWB4NsbucZhxa57,'Does He Really Care'
60,'together PANGEA',71U7k9l1euqfmGMiAddU9O,'Too Drunk to Come'
61,'together PANGEA',0NfSMz5gjgVnLUzRHyHLVW,'Summertime'
62,'Bass Drum of Death',0xzJttTWG2szqdIORse5Sy,'Crawling After You'
63,'Bass Drum of Death',4wnQEnWsfIFJu21rxtclv2,'Stain Stick Skin'
64,'Bass Drum of Death',6QuSmqMucDaHvpYncC01dp,'I Thought I Told You'
